  id            u            v       length      demanda           CS           CA   oneway     status
 279   2477827156   2477831985    95.216735    63.376259     0.761734     0.285650    False  undefined
 280   2477827157   2477827167    55.688108    37.066005     0.445505     0.167064    False  undefined
 281   2477827157   5116504530   108.016488    71.895774     0.864132     0.324049    False  undefined
 282   2477827157   2477827176   159.777726   106.348054     1.278222     0.479333    False  undefined
 283   2477827158   2477831983   155.979088   103.819681     1.247833     0.467937    False  undefined
 284   2477827158   2477827192   142.083027    94.570463     1.136664     0.426249    False  undefined
 285   2477827158   2477827143   136.902381    91.122225     1.095219     0.410707    False  undefined
 286   2477827165   2898228820   159.135913   105.920863     1.273087     0.477408    False  undefined
 287   2477827165   2477831984   112.711430    75.020728     0.901691     0.338134    False  undefined
 288   2477827165   2477831975   165.347475   110.055280     1.322780     0.496042    False  undefined
 289   2477827165   2477832009   222.520304   148.109515     1.780162     0.667561    False  undefined
 290   2477827167   2477827157    55.688108    37.066005     0.445505     0.167064    False  undefined
 291   2477827167   2477827190    90.105229    59.974040     0.720842     0.270316    False  undefined
 292   2477827167   2477827173   100.889959    67.152357     0.807120     0.302670    False  undefined
 293   2477827170   5116504529    68.441797    45.554860     0.547534     0.205325    False  undefined
 294   2477827170   2477827148   166.246482   110.653658     1.329972     0.498739    False  undefined
 295   2477827170   2653916614   149.531702    99.528301     1.196254     0.448595    False  undefined
 296   2477827171   2477831982    58.820986    39.151248     0.470568     0.176463    False  undefined
 297   2477827171   2477831989   142.243631    94.677360     1.137949     0.426731    False  undefined
 298   2477827171   2477827155    74.640963    49.681025     0.597128     0.223923    False  undefined
 299   2477827173   2653916614   104.799171    69.754329     0.838393     0.314398    False  undefined
 300   2477827173   2653916618    69.770051    46.438946     0.558160     0.209310    False  undefined
 301   2477827173   2477827167   100.889959    67.152357     0.807120     0.302670    False  undefined
 302   2477827173   2477827181    97.158414    64.668641     0.777267     0.291475    False  undefined
 303   2477827174   2477827177    21.650899    14.410838     0.173207     0.064953    False  undefined
 304   2477827174   2477827148   112.886850    75.137488     0.903095     0.338661    False  undefined
 305   2477827176   2477827199    96.195549    64.027757     0.769564     0.288587    False  undefined
 306   2477827176   2477827157   159.777726   106.348054     1.278222     0.479333    False  undefined
 307   2477827176   2477827192   227.983745   151.745981     1.823870     0.683951    False  undefined
 308   2477827177   2477827174    21.650899    14.410838     0.173207     0.064953    False  undefined
 309   2477827177   2477827180    44.232882    29.441406     0.353863     0.132699     True  undefined
 310   2477827177   2477827205   126.773157    84.380213     1.014185     0.380319    False  undefined
 311   2477827180   2477827185   154.280301   102.688968     1.234242     0.462841     True  undefined
 312   2477827180   2477827314   464.381890   309.092586     3.715055     1.393146    False  undefined
 313   2477827181   5116504529    13.668724     9.097903     0.109350     0.041006     True  undefined
 314   2477827181   2477827173    97.158414    64.668641     0.777267     0.291475    False  undefined
 315   2477827183   2477831982    85.966851    57.219536     0.687735     0.257901    False  undefined
 316   2477827183   2477831985   119.973936    79.854652     0.959791     0.359922    False  undefined
 317   2477827183   2477831996    85.037880    56.601213     0.680303     0.255114    False  undefined
 318   2477827183   2477831997   202.717316   134.928645     1.621739     0.608152    False  undefined
