  id   u     v       length       demanda         CS           CA       oneway  status
 407   97   100    15.351057    10.217664     0.122808     0.046053     True  undefined
 408   98   96    13.569126     0.000000     0.108553     0.040707    False   passagem
 409   98   105   112.085622    74.604190     0.896685     0.336257    False  undefined
 410   98   117   121.937864    81.161843     0.975503     0.365814     True  undefined
 411   99   100    23.071068     0.000000     0.184569     0.069213     True   passagem
 412   99   102    40.031548     0.000000     0.320252     0.120095     True   passagem
 413   99   103    22.549300     0.000000     0.180394     0.067648     True   passagem
 414   100   113   214.499629   142.770953     1.715997     0.643499     True  undefined
 415   101   73   249.431191   166.021400     1.995450     0.748294    False  undefined
 416   101   96    29.623810    19.717608     0.236990     0.088871     True  undefined
 417   102   107    36.923903     0.000000     0.295391     0.110772     True   passagem
 418   103   107    26.295118     0.000000     0.210361     0.078885     True   passagem
